small_area,air_quality,congestion,dampness,diet_change,excess_cold,excess_heat,hassle_costs,noise,physical_activity,road_repairs,road_safety,sum,population,households,local_authority,nation
S01006506,0.610579121,-0.017220057,0.011537114,0.064664166,0.110798471,1.53e-6,-0.97693893,1.111288197,1.843440329,-0.001305673,-0.009236675,2.747607593,863,442,Aberdeen City,Scotland
S01006507,0.553270994,-0.015603807,0.006137143,0.058594875,0.122299016,1.44e-6,-0.885244781,1.008483441,1.207710672,-0.001183041,-0.008369757,2.046096199,782,361,Aberdeen City,Scotland
S01006508,0.424504599,-0.011972228,0.006486841,0.044957704,0.105995316,1.19e-6,-0.679215939,0.771257259,0.800518534,-9.0768e-4,-0.006421716,1.455203884,600,333,Aberdeen City,Scotland
S01006509,0.354461339,-0.009996784,0.006722816,0.037539682,0.065951391,9.26e-7,-0.567145315,0.643542291,0.984509215,-7.5766e-4,-0.005362188,1.509465713,501,263,Aberdeen City,Scotland
S01006510,0.438654755,-0.012371303,0.006513394,0.046456298,0.091185985,1.12e-6,-0.701856473,0.798254629,1.022417464,-9.3777e-4,-0.006635802,1.681682301,620,308,Aberdeen City,Scotland
S01006511,0.539124096,-0.015204732,0.003360633,0.057096285,0.129495465,1.44e-6,-0.862604246,0.986779868,2.656149467,-0.0011527,-0.008155675,3.484889903,762,310,Aberdeen City,Scotland
S01006512,0.470838556,-0.151269813,0.010629686,0.048254603,0.090337044,1.83e-6,-0.541053582,0.199305354,1.231004422,-0.011468241,-0.081139688,1.265440172,644,255,Aberdeen City,Scotland
S01006513,0.71246452,-0.020093392,0.003544135,0.075454013,0.248986421,2.47e-6,-1.139950758,1.315309642,5.423295447,-0.001523452,-0.010777905,6.606711145,1007,419,Aberdeen City,Scotland
S01006514,0.900662693,-0.025401083,0.003061693,0.095385259,0.240160318,2.86e-6,-1.441069827,1.656450363,4.945938831,-0.001925629,-0.013624898,6.35964058,1273,376,Aberdeen City,Scotland
S01006515,0.592803413,-0.016741172,0.00220679,0.062865858,0.168540944,1.91e-6,-0.94977029,1.091774416,3.092055388,-0.001269059,-0.008979763,4.033488431,839,274,Aberdeen City,Scotland
S01006516,0.45988276,-0.012969916,0.001840995,0.048704178,0.134279043,1.52e-6,-0.735817273,0.844657781,2.802170275,-9.8341e-4,-0.006956925,3.53480903,650,215,Aberdeen City,Scotland
S01006517,1.230363256,-0.034699513,0.008501134,0.130302412,0.416021694,4.05e-6,-1.968594207,2.272258417,10.97003968,-0.002630637,-0.018612488,13.0029538,1739,853,Aberdeen City,Scotland
S01006518,0.483938164,-0.013648341,0.002510165,0.051251781,0.167993544,1.89e-6,-0.774306174,0.896256098,2.18976844,-0.00103483,-0.007320828,2.995409912,684,250,Aberdeen City,Scotland
S01006519,0.675673898,-0.019055797,0.002411245,0.071557679,0.22215614,2.65e-6,-1.081085373,1.253957536,5.432249396,-0.00144468,-0.01022135,6.54620134,955,275,Aberdeen City,Scotland
S01006520,0.604215191,-0.017040473,0.001974877,0.063989798,0.18662343,2.33e-6,-0.966750692,1.119139727,4.605246545,-0.001291957,-0.009140358,5.586968419,854,226,Aberdeen City,Scotland
S01006521,0.578744762,-0.016322142,0.002221064,0.061292335,0.165390871,1.89e-6,-0.925997737,1.064537137,3.554877735,-0.001237477,-0.008755046,4.474753389,818,263,Aberdeen City,Scotland
S01006522,0.519318086,-0.014665983,0.002283285,0.055073187,0.139513032,1.48e-6,-0.832039529,0.948000815,1.855522206,-0.00111185,-0.007866731,2.664027994,735,266,Aberdeen City,Scotland
S01006523,0.722814283,-0.020372744,0.01054624,0.076503023,0.162058746,2.36e-6,-1.155799133,1.313792438,0.668419209,-0.001544287,-0.010927748,1.765492384,1021,425,Aberdeen City,Scotland
S01006524,0.788163539,-0.022228442,0.009864787,0.08347147,0.186031439,2.46e-6,-1.261077598,1.42959866,0.988137484,-0.0016850980000000001,-0.011923124,2.18835558,1114,474,Aberdeen City,Scotland
S01006525,0.629685622,-0.017758804,0.005252708,0.06668726,0.16400843,1.94e-6,-1.007503648,1.145712233,1.475631523,-0.00134642,-0.009525657,2.450845187,890,374,Aberdeen City,Scotland
S01006526,0.676368077,-0.019075752,0.012317126,0.071632609,0.05229328,1.05e-6,-1.082217408,1.209376284,0.551288592,-0.001446181,-0.010232052,1.460305627,956,423,Aberdeen City,Scotland
